language	iso_code	gloss	ipa	asjp	sca	dolgo
nucl1305	kan	Auge::N	k ə ɳ ɳ u	k3nu	KENY	KVNV
nucl1305	kan	Ohr::N	k ɪ ʋ i	kiwi	KIWI	KVWV
nucl1305	kan	Nase::N	m u u ɡ u	mugu	MYKY	MVKV
nucl1305	kan	Mund::N	b a a j i	bayi	PAJI	PVJV
nucl1305	kan	Zahn::N	h ə l l u	h3lu	HELY	HVRV
nucl1305	kan	Zunge::N	n a a l ɪ ɡ e	nalige	NALIKE	NVRVKV
nucl1305	kan	Lippe::N	t ʊ ʈ i	tuti	TYTI	TVTV
nucl1305	kan	Wange::N	ɡ ə l l a	g3la	KELA	KVRV
nucl1305	kan	Gesicht::N	m ʊ kʰ a	muka	MYKA	MVKV
nucl1305	kan	Stirn::N	h ə ɳ e	h3ne	HENE	HVNV
nucl1305	kan	Haar::N	k u u d ə l u	kud3lu	KYTELY	KVTVRV
nucl1305	kan	Schnurrbart::N	m i i s e	mise	MISE	MVSV
nucl1305	kan	Bart::N	ɡ ə ɖ ɖ a	g3da	KETA	KVTV
nucl1305	kan	Kinn::N	ɡ ə d d a	g3da	KETA	KVTV
nucl1305	kan	Kiefer[Anatomie]::N	d ə ʋ ə ɖ e	d3w3de	TEWETE	TVWVTV
nucl1305	kan	Kehle::N	ɡ ə ŋ ʈ ə l u	g3Nt3lu	KENTELY	KVNTVRV
nucl1305	kan	Hals::N	k ɔ r ə ɭ u	kor3Lu	KURELY	KVRVRV
nucl1305	kan	Genick::N	h ɪ ŋ ɡ ə t t u	hiNg3tu	HINKETY	HVNKVTV
nucl1305	kan	Kopf::N	t ə l e	t3le	TELE	TVRV
nucl1305	kan	Rücken::N	b ɛ n n u	bEnu	PENY	PVNV
nucl1305	kan	Bauch::N	h ɔ ʈ ʈ e	hote	HUTE	HVTV
nucl1305	kan	Nabel::N	h ɔ k k ʊ ɭ u	hokuLu	HUKYLY	HVKVRV
nucl1305	kan	Busen::N	s t ə n a	st3na	STENA	STVNV
nucl1305	kan	Brust::N	j ɛ d e	yEde	JETE	JVTV
nucl1305	kan	Schulter::N	bʰ ʊ d͡ʒ a	buja	PYCA	PVKV
nucl1305	kan	Arm::N	t o o ɭ u	toLu	TULY	TVRV
nucl1305	kan	Ellenbogen::N	m ɔ ɳ ə k ə i	mon3k3i	MUNEKEI	MVNVKV
nucl1305	kan	Hand::N	k ə i	k3i	KEI	KV
nucl1305	kan	Handfläche::N	ə ŋ ɡ ə i	3Ng3i	ENKEI	VNKV
nucl1305	kan	Finger::N	k ə ɪ b ɛ r ə ɭ u	k3ibEr3Lu	KEIPERELY	KVPVRVRV
nucl1305	kan	Fingernagel::N	w ʊ ɡ ʊ r u	wuguru	WYKYRY	WVKVRV
nucl1305	kan	Nagel[Anatomie]::N	w ʊ ɡ ʊ r u	wuguru	WYKYRY	WVKVRV
nucl1305	kan	Zeh::N	k a a l b ɛ r ə ɭ u	kalbEr3Lu	KALPERELY	KVRPVRVRV
nucl1305	kan	Fuß::N	p a a d a	pada	PATA	PVTV
nucl1305	kan	Ferse::N	h ɪ m m ə ɖ i	him3di	HIMETI	HVMVTV
nucl1305	kan	Knie::N	m ə ŋ ɖ i	m3Ndi	MENTI	MVNTV
nucl1305	kan	Oberschenkel::N	t ɔ ɖ e	tode	TUTE	TVTV
nucl1305	kan	Bein::N	k a a l u	kalu	KALY	KVRV
