language	iso_code	gloss	ipa	asjp	sca	dolgo	Cognate Class
mala1464	mal	Abend::N	s a a j a a ɦ n a m	sayahnam	SAJAHNAM	SVJVHNVM	2
nucl1305	kan	Abend::N	s ə ŋ d͡ʒ e	s3Nje	SENCE	SVNKV	1
tami1289	tam	Abend::N	m ɑ ɑ l ʌ i p _ p o ɻ u ð u	maloippoLu8u	MALEIP_PURYDY	MVRVP_PVRVTV	2
telu1262	tel	Abend::N	s a a j ʌ̃ k a a l ʌ m u	sayokalomu	SAJEKALEMY	SVJVKVRVMV	2
mala1464	mal	abfahren::V	p u r a p p e ɖ u ɡ a	purapeduga	PYRAPETYKA	PVRVPVTVKV	1
nucl1305	kan	abfahren::V	t ɛ r ə ɭ u	tEr3Lu	TERELY	TVRVRV	3
tami1289	tam	abfahren::V	p u r ʌ p p ʌ ʈ ʈ u t͡ɕ _ t͡ɕ e l	puropotuCCel	PYREPETYC_CEL	PVRVPVTVK_KVR	1
telu1262	tel	abfahren::V	ʋ i ɖ i t͡ɕ i p o o ʋ u	widiCipowu	WITICIPUWY	WVTVKVPVWV	2
mala1464	mal	Abhang::N	t͡ʃ a ɾʲ i ʋ ɨ	Cariw3	CARIWI	KVRVWV	2
nucl1305	kan	Abhang::N	j ɪ ɭ ɪ d͡ʒ a a r u	yiLijaru	JILICARY	JVRVKVRV	2
tami1289	tam	Abhang::N	t͡ɕ ʌ ɾ i ʋ u	Coriwu	CERIWY	KVRVWV	2
telu1262	tel	Abhang::N	e e ʈ ʌ ʋ a a l u	etowalu	ETEWALY	VTVWVRV	1
mala1464	mal	abnehmen::V	k u r i j u ɡ a	kuriyuga	KYRIJYKA	KVRVJVKV	2
nucl1305	kan	abnehmen::V	t ə ɡ ɡ u	t3gu	TEKY	TVKV	1
tami1289	tam	abnehmen::V	k u r ʌ i	kuroi	KYREI	KVRV	2
telu1262	tel	abnehmen::V	t ʌ ɡ ɡ u	togu	TEKY	TVKV	1
mala1464	mal	abreißen::V	k i i r i k k ʲ a ɭ a j u ɡ a	kirikaLayuga	KIRIKALAJYKA	KVRVKVRVJVKV	3
nucl1305	kan	abreißen::V	h ə r i	h3ri	HERI	HVRV	2
tami1289	tam	abreißen::V	k i ɻ i	kiLi	KIRI	KVRV	1
telu1262	tel	abreißen::V	t e ɡ ʌ t ẽ t͡ɕ u	tegoteCu	TEKETECY	TVKVTVKV	3
mala1464	mal	abschneiden::V	m u r i t t͡ʃ u m a a t t u ɡ a	muriCumatuga	MYRICYMATYKA	MVRVKVMVTVKV	3
nucl1305	kan	abschneiden::V	k ə t t ə r ɪ s u	k3t3risu	KETERISY	KVTVRVSV	1
tami1289	tam	abschneiden::V	ʋ e ʈ ʈ i _ e ɖ u	wetiedu	WETI_ETY	WVTV_VTV	3
telu1262	tel	abschneiden::V	t e ɡ ʌ k o ʈ ʈ u	tegokotu	TEKEKUTY	TVKVKVTV	2
mala1464	mal	Abstand::N	ʋ i ɖ a ʋ ɨ	widaw3	WITAWI	WVTVWV	3
nucl1305	kan	Abstand::N	ə ŋ t ə r a	3Nt3ra	ENTERA	VNTVRV	3
tami1289	tam	Abstand::N	i ɖ ʌ i ʋ e ɭ i	idoiweLi	ITEIWELI	VTVWVRV	1
telu1262	tel	Abstand::N	s ʌ̃ d u	sodu	SETY	SVTV	2
mala1464	mal	abwischen::V	t u ɖ a j k k u ɡ a	tudaykuga	TYTAJKYKA	TVTVJKVKV	2
nucl1305	kan	abwischen::V	w ɔ r ə s u	wor3su	WURESY	WVRVSV	3
tami1289	tam	abwischen::V	t u ɖ ʌ i	tudoi	TYTEI	TVTV	1
telu1262	tel	abwischen::V	t u ɖ u t͡ɕ u	tuduCu	TYTYCY	TVTVKV	3
mala1464	mal	acht::NUM	e ʈ ʈ ɨ	et3	ETI	VTV	1
nucl1305	kan	acht::NUM	j ɛ ŋ ʈ u	yENtu	JENTY	JVNTV	1
tami1289	tam	acht::NUM	e ʈ ʈ u	etu	ETY	VTV	1
telu1262	tel	acht::NUM	e n i m ʌ d u	enimodu	ENIMETY	VNVMVTV	2
mala1464	mal	achtzig::NUM	e ɳ b a dʰ ɨ	enbad3	ENPATI	VNPVTV	1
nucl1305	kan	achtzig::NUM	j ɛ ŋ b ə t t u	yENb3tu	JENPETY	JVNPVTV	1
tami1289	tam	achtzig::NUM	e ɳ p ʌ ð u	enpo8u	ENPEDY	VNPVTV	1
telu1262	tel	achtzig::NUM	e n u b ʌ d i	enubodi	ENYPETI	VNVPVTV	1
mala1464	mal	Ader::N	ɲ a ɾʲ a m b ɨ	5aramb3	NARAMPI	NVRVMPV	1
nucl1305	kan	Ader::N	n ə r a	n3ra	NERA	NVRV	2
tami1289	tam	Ader::N	n ɑ ɑ ɭ ʌ m	naLom	NALEM	NVRVM	3
telu1262	tel	Ader::N	s i r ʌ	siro	SIRE	SVRV	3
mala1464	mal	Adler::N	k a ɻ u ɡ a n	kaLugan	KARYKAN	KVRVKVN	3
nucl1305	kan	Adler::N	ɡ ə r ʊ ɖ a	g3ruda	KERYTA	KVRVTV	1
tami1289	tam	Adler::N	p ʌ ɾ u n ʌ ð u	poruno8u	PERYNEDY	PVRVNVTV	2
telu1262	tel	Adler::N	ɡ r ʌ d d ʌ	grodo	KRETE	KRVTV	1
mala1464	mal	allein::ADV	t a n i t t͡ʃ u ɭ ɭ a	taniCuLa	TANICYLA	TVNVKVRV	1
nucl1305	kan	allein::ADV	w ɔ b b ə n e e	wob3ne	WUPENE	WVPVNV	2
tami1289	tam	allein::ADV	t ʌ n i j ɑ ɑ k ʌ	toniyako	TENIJAKE	TVNVJVKV	1
telu1262	tel	allein::ADV	õ ʈ i ɡ a a	otiga	UTIKA	VTVKV	2
mala1464	mal	alles::PRN	e l l a a m	elam	ELAM	VRVM	1
nucl1305	kan	alles::PRN	j ɛ l l a	yEla	JELA	JVRV	1
tami1289	tam	alles::PRN	o ʋ ʋ o n r u m	owonrum	UWUNRYM	VWVNRVM	2
telu1262	tel	alles::PRN	s ʌ k ʌ l ʌ m u	sokolomu	SEKELEMY	SVKVRVMV	2
mala1464	mal	alt::A	p a ɻ a j a	paLaya	PARAJA	PVRVJV	1
nucl1305	kan	alt::A	m ʊ d i	mudi	MYTI	MVTV	2
tami1289	tam	alt::A	p ʌ ɻ ʌ i j ʌ	poLoiyo	PEREIJE	PVRVJV	1
telu1262	tel	alt::A	m u s ʌ l i	musoli	MYSELI	MVSVRV	3
mala1464	mal	alt[Lebewesen]::A	ʋ a j a s s u ɭ ɭ a	wayasuLa	WAJASYLA	WVJVSVRV	1
nucl1305	kan	alt[Lebewesen]::A	ʋ r ɨ d d h a	wr3dha	WRITHA	WRVTHV	3
tami1289	tam	alt[Lebewesen]::A	ʋ ʌ j ʌ t ɑ ɑ n ʌ	woyotano	WEJETANE	WVJVTVNV	1
telu1262	tel	alt[Lebewesen]::A	m u s ʌ l i	musoli	MYSELI	MVSVRV	2
mala1464	mal	Alter::N	ʋ a j a s s ɨ	wayas3	WAJASI	WVJVSV	1
nucl1305	kan	Alter::N	m ʊ p p u	mupu	MYPY	MVPV	1
tami1289	tam	Alter::N	ʋ ʌ j ʌ ð u	woyo8u	WEJEDY	WVJVTV	1
telu1262	tel	Alter::N	ʋ ʌ j ʌ s s u	woyosu	WEJESY	WVJVSV	1
mala1464	mal	Ameise::N	u r u m b ɨ	urumb3	YRYMPI	VRVMPV	2
nucl1305	kan	Ameise::N	j ɪ r ʊ ʋ e	yiruwe	JIRYWE	JVRVWV	1
tami1289	tam	Ameise::N	e r u m b u	erumbu	ERYMPY	VRVMPV	2
telu1262	tel	Ameise::N	t͡ɕ i i m ʌ	Cimo	CIME	KVMV	2
mala1464	mal	anbinden::V	k e ʈ ʈ i j i ɖ u ɡ a	ketiyiduga	KETIJITYKA	KVTVJVTVKV	2
nucl1305	kan	anbinden::V	b ɪ ɡ i	bigi	PIKI	PVKV	2
tami1289	tam	anbinden::V	k ʌ ʈ ʈ u	kotu	KETY	KVTV	1
telu1262	tel	anbinden::V	k ʌ ʈ ʈ u	kotu	KETY	KVTV	1
mala1464	mal	anderer::A	m a t t u ɭ ɭ a	matuLa	MATYLA	MVTVRV	2
nucl1305	kan	anderer::A	j ɪ t ə r a	yit3ra	JITERA	JVTVRV	1
tami1289	tam	anderer::A	m ʌ t t ʌ	moto	METE	MVTV	2
telu1262	tel	anderer::A	ʋ e e ɽ t e n ʌ	werteno	WERTENE	WVRTVNV	2
mala1464	mal	ändern::V	m a a t t a m ʋ a ɾʲ u t t u ɡ a	matamwarutuga	MATAMWARYTYKA	MVTVMWVRVTVKV	3
nucl1305	kan	ändern::V	b ə d ə l a a j ɪ s u	b3d3layisu	PETELAJISY	PVTVRVJVSV	2
tami1289	tam	ändern::V	m ɑ ɑ t t i _ ʌ m ʌ i	matiomoi	MATI_EMEI	MVTV_VMV	1
telu1262	tel	ändern::V	m a a r t͡ɕ u	marCu	MARCY	MVRKV	3
mala1464	mal	anfangen::V	t u ɖ a ŋ ŋ u ɡ a	tudaNuga	TYTANYKA	TVTVNVKV	1
nucl1305	kan	anfangen::V	p r a a r ə ŋ bʰ ɪ s u	prar3Nbisu	PRARENPISY	PRVRVNPVSV	2
tami1289	tam	anfangen::V	t o ɖ ʌ ŋ ɡ u	todoNgu	TUTENKY	TVTVNKV	1
telu1262	tel	anfangen::V	a a r ʌ̃ bʰ ĩ t͡ɕ u	arobiCu	AREPICY	VRVPVKV	2
